date,time,lat,lon,depth,ML,nstn,dmin,gap,trms,ERH,ERZ,fixed,nph,quality
2023-08-08,6:26:24,23.2988,121.4282,27.19,4.06,99,3,115,0.28,0.2,0.1,F,205,B
2023-08-08,10:38:13,23.2655,121.579,39.97,4.6,99,14.2,103,0.35,0.2,0.2,F,295,C
2023-08-10,2:02:17,24.7942,121.949,91.23,5.02,99,5.3,53,0.23,0.2,0.2,F,343,B
2023-08-11,10:24:00,23.3045,120.94,3.89,4.36,99,7.8,19,0.34,0.1,0.1,F,306,C
2023-08-12,11:17:59,21.7163,121.0387,20.09,4.13,33,27.8,165,0.41,0.6,0.7,F,53,C
2023-08-12,18:27:53,23.3617,121.8567,28.3,4.25,99,41.7,110,0.34,0.3,0.4,F,304,C
2023-08-13,1:43:10,20.5523,121.4732,83.96,6.06,99,107,213,0.42,0.7,0.5,F,285,D
2023-08-13,11:48:00,24.5637,122.6173,97.04,4.53,99,40.6,134,0.28,0.2,0.2,F,293,B
2023-08-13,12:06:24,21.759,121.0348,21.03,4.84,99,24.2,134,0.33,0.2,0.2,F,200,C
2023-08-13,18:41:24,24.3982,122.3743,53.81,4.63,99,19,105,0.3,0.2,0.1,F,338,C
2023-08-15,7:59:46,23.4215,122.0648,38.09,4.39,99,61.6,126,0.4,0.3,0.6,F,254,C
2023-08-15,17:09:18,24.1663,121.6733,27.71,4.86,99,5.2,84,0.26,0.1,0.1,F,325,B
2023-08-15,18:22:37,23.7523,122.5968,33.59,4.07,99,49.9,176,0.38,0.2,0.2,F,293,C
2023-08-16,14:58:53,23.5292,120.3903,9.53,4.04,99,5.7,17,0.29,0.1,0.1,F,266,B
2023-08-17,10:03:08,25.212,122.717,171.14,4.01,64,76.3,218,0.4,0.8,0.5,F,103,D
2023-08-20,7:10:42,23.5158,121.5623,33.67,4.32,99,14.4,88,0.34,0.2,0.1,F,272,B
2023-08-21,4:39:44,23.811,121.5888,22.65,4.01,99,3.7,85,0.31,0.2,0.1,F,209,B
2023-08-22,1:50:54,24.7857,122.604,121.72,4.24,99,53.7,168,0.36,0.3,0.3,F,231,D
2023-08-22,3:32:15,23.3307,121.8935,33.36,4.05,99,45.2,103,0.36,0.3,0.4,F,268,C
2023-08-22,17:19:15,24.9537,121.8112,127.3,4.15,99,2.5,46,0.29,0.3,0.2,F,310,B
2023-08-24,5:39:25,24.734,122.0055,73,4.64,99,13.5,97,0.36,0.2,0.2,F,290,C
2023-08-24,7:10:00,24.1282,122.4292,25.69,4.31,99,11.4,135,0.41,0.2,0.1,F,213,C
2023-08-26,13:20:34,22.7042,122.811,55.82,4.58,99,84.3,220,0.45,0.5,1,F,307,D
2023-08-27,11:04:46,22.8935,121.0768,9.56,4.2,99,5.6,41,0.44,0.1,0.2,F,208,B
2023-08-31,4:49:03,23.5268,120.3898,8.9,4.54,99,5.5,18,0.25,0.1,0.1,F,303,B
2023-08-31,18:58:46,24.9498,122.2102,14.3,4.49,99,22.5,123,0.27,0.2,0.2,F,217,B
2023-09-04,7:50:58,24.8038,122.439,17.29,4.39,99,50.2,133,0.29,0.2,0.4,F,209,C
2023-09-04,13:56:55,22.1367,119.9272,51.33,4.52,99,51,180,0.34,0.2,0.2,F,224,D
2023-09-05,3:13:49,22.249,120.8098,9.03,4.72,99,3.8,80,0.41,0.1,0.2,F,164,B
2023-09-05,9:30:41,23.5255,120.3852,9.94,5.58,99,5.8,18,0.26,0.1,0.1,F,284,B
